,price,brand,year,mileage
0,6300,toyota,2008,441054.25299999997
1,2899,ford,2011,306598.168
2,5350,dodge,2018,63700.31
3,25000,ford,2014,103210.914
4,27700,chevrolet,2018,10706.286
5,5700,dodge,2018,73307.649
6,7300,chevrolet,2010,239821.45
7,13350,gmc,2017,37851.725
8,14600,chevrolet,2018,15077.939
9,5250,ford,2017,102039.562
10,10400,dodge,2009,173540.304
11,12920,gmc,2017,63796.85
12,31900,chevrolet,2018,36860.581
13,5430,chrysler,2017,223087.85
14,20700,ford,2013,162118.013
15,12710,gmc,2017,41426.923
16,5200,kia,2018,74326.146
17,16500,buick,2018,32183.218
18,5210,ford,2017,57463.826
19,38100,ford,2013,87497.42
20,12520,gmc,2017,48453.426
21,7300,kia,2018,62466.207
22,15000,chevrolet,2015,99079.002
23,6180,ford,2017,74030.09
24,20800,ford,2013,169765.59
25,11900,gmc,2017,45116.36
26,21500,kia,2020,18424.659
27,12000,buick,2014,49941.751
28,4190,ford,2017,71075.966
29,13000,ford,2008,150760.082
30,12710,gmc,2017,42419.676
31,18500,infiniti,2016,115794.903
32,29800,chevrolet,1973,74377.634
33,5330,ford,2017,60807.328
34,13000,ford,2003,94636.553
35,11900,gmc,2017,44995.685
36,16600,mercedes-benz,2016,178449.363
37,19200,chevrolet,2018,3909.87
38,7320,ford,2017,52076.894
39,7000,ford,2003,284096.303
40,12710,gmc,2017,48348.841
41,16600,mercedes-benz,2016,157654.647
42,30500,chevrolet,2018,48981.178
43,6330,ford,2017,61339.907
44,55000,ford,2017,24574.257
45,12520,gmc,2017,46615.948
46,16200,jeep,2019,48368.149
47,19000,chevrolet,2017,29628.126
48,5580,dodge,2017,75347.861
49,54000,ford,2017,42221.769
50,12710,gmc,2017,64176.574
51,16000,jeep,2019,50834.746
52,27000,buick,2017,51660.163
53,7760,ford,2017,72073.546
54,19600,chrysler,2019,68620.632
55,12920,gmc,2017,63016.485
56,20000,jeep,2019,61713.195
57,18100,buick,2017,75246.494
58,23000,chrysler,2020,3979.057
59,18500,chrysler,2019,62084.873999999996
60,13490,gmc,2017,44797.778
61,20700,jeep,2019,50130.004
62,17800,chevrolet,2017,84367.915
63,6650,ford,2017,48176.678
64,29100,chrysler,2019,40677.129
65,12710,gmc,2017,52298.936
66,21100,jeep,2019,46096.241
67,18600,chevrolet,2017,56636.8
68,4340,ford,2017,41193.618
69,19300,chrysler,2019,55994.809
70,12780,gmc,2017,49893.481
71,15800,jeep,2019,57272.354999999996
72,29400,bmw,2017,38237.885
73,4430,ford,2017,51153.328
74,19400,chrysler,2019,53314.215
75,12520,gmc,2017,49293.324
76,15900,jeep,2019,55513.718
77,26400,buick,2017,40923.306
78,4140,ford,2017,59101.788
79,18300,chrysler,2019,67243.328
80,12520,gmc,2017,51475.128
81,17900,jeep,2019,52294.109
82,18300,chevrolet,2017,45687.555
83,4640,ford,2017,58147.651
84,24000,ford,2016,135820.517
85,13200,gmc,2017,53832.313
86,18000,jeep,2019,47055.205
87,14900,chevrolet,2017,20567.847
88,4140,ford,2017,28345.753
89,11500,ford,2016,59299.695
90,9110,ford,2017,177498.444
91,7350,chrysler,2015,141957.243
92,24500,bmw,2017,28360.234
93,9300,ford,2017,193647.97699999998
94,39800,dodge,2015,5858.369
95,53500,bmw,2017,47232.195
96,15110,ford,2017,63286.797
97,34000,ford,2015,69074.37
98,26502,chevrolet,2017,40213.737
99,5990,ford,2017,72290.761
100,13600,ford,2018,27306.339
101,23605,cadillac,2017,57277.182
102,10780,ford,2017,65092.095
103,13800,ford,2018,37270.876
104,25201,cadillac,2017,30588.699
105,7070,ford,2017,72712.319
106,8700,ford,2018,34440.645
107,18003,chevrolet,2017,30759.253
108,8530,ford,2017,67745.336
109,23100,dodge,2018,79639.064
110,24500,cadillac,2017,52160.562
111,7000,ford,2017,48080.138
112,17000,ford,2018,56023.771
113,34002,chevrolet,2017,51364.106999999996
114,6980,ford,2017,46931.312
115,25000,dodge,2018,45545.962999999996
116,20802,chevrolet,2017,54369.719
117,9200,ford,2017,35027.93
118,26500,chrysler,2017,29565.375
119,24802,chevrolet,2017,22780.222
120,7070,ford,2017,48781.662
121,28500,ford,2017,77370.374
122,47500,cadillac,2017,42738.258
123,23500,ford,2017,92696.099
124,23505,chevrolet,2017,76197.413
125,10940,ford,2017,136629.844
126,32100,ford,2017,39454.289
127,53000,chevrolet,2018,25912.945
128,6830,ford,2017,57743.792
129,11900,dodge,2017,95795.033
130,26414,chevrolet,2017,88852.198
131,4160,dodge,2018,52887.83
132,19405,chevrolet,2017,63856.383
133,5690,dodge,2018,75759.765
134,25900,chrysler,2017,51848.416
135,24005,chevrolet,2017,82530.437
136,5090,dodge,2018,69169.30099999999
137,19500,chrysler,2017,50379.399
138,32012,chevrolet,2017,74160.419
139,6800,dodge,2016,78894.097
140,4260,dodge,2018,54636.813
141,0,dodge,2008,286318.332
142,31802,chevrolet,2017,31930.605
143,7210,dodge,2018,62606.19
144,0,dodge,2014,198968.94
145,28402,chevrolet,2017,50255.506
146,6800,dodge,2018,59158.103
147,33300,cadillac,2015,93212.588
148,10780,dodge,2018,31246.78
149,6700,ford,2014,328485.395
150,20000,chevrolet,2016,150430.237
151,6440,chrysler,2018,33695.678
152,19900,ford,2016,139703.03399999999
153,37000,chevrolet,2015,73671.283
154,4040,dodge,2018,81680.885
155,22300,ford,2016,101003.366
156,31200,chevrolet,2011,122808.534
157,4290,dodge,2018,62797.661
158,22800,ford,2016,117271.965
159,19002,cadillac,2016,74765.403
160,4160,dodge,2018,10849.487
161,18500,ford,2016,53924.026
162,39000,bmw,2016,64226.453
163,6060,dodge,2018,52298.936
164,28800,ford,2016,124919.542
165,40000,bmw,2016,51048.743
166,6140,dodge,2018,85222.294
167,21000,ford,2016,38868.613
168,20105,buick,2016,82691.337
169,6760,dodge,2018,57056.748999999996
170,25800,ford,2014,75711.495
171,39000,bmw,2016,53273.99
172,5470,dodge,2018,63911.089
173,14600,ford,2014,121938.065
174,24502,chevrolet,2016,54101.015999999996
175,15110,ford,2017,68043.001
176,7900,ford,2014,127789.99799999999
177,27305,chevrolet,2016,46409.996
178,15290,ford,2017,107130.438
179,26500,ford,2015,98850.524
180,25502,chevrolet,2016,93809.527
181,7320,ford,2017,89489.362
182,3800,chevrolet,2009,420991.632
183,24502,chevrolet,2016,53169.405
184,4140,ford,2017,65561.923
185,1400,dodge,2002,298405.14
186,18402,cadillac,2016,42907.203
187,4160,ford,2017,59816.184
188,175,chrysler,2000,372065.16
189,24503,chevrolet,2016,28971.654
190,15840,ford,2017,116564.005
191,20500,ford,2014,198478.195
192,21003,chevrolet,2016,70982.644
193,4200,ford,2017,96892.371
194,17400,ford,2011,217338.893
195,32001,chevrolet,2016,51581.322
196,0,ford,2017,123664.522
197,15700,ford,2011,498088.476
198,31009,chevrolet,2016,54590.152
199,3740,ford,2017,145804.362
200,5000,dodge,2001,175960.24
201,31002,chevrolet,2016,115540.681
202,3160,ford,2017,50784.867
203,8600,dodge,2005,353695.207
204,6000,chevrolet,2018,67722.81
205,12990,ford,2017,203575.507
206,25,chevrolet,2020,11636.288
207,13200,buick,2017,96815.139
208,4410,ford,2017,337753.235
209,25,chrysler,2005,244270.335
210,22500,chevrolet,2020,22246.034
211,7420,ford,2017,89869.086
212,13500,ford,2016,73623.013
213,15500,chevrolet,2020,26620.905
214,3540,ford,2017,181644.837
215,17000,ford,2016,204024.418
216,45500,chevrolet,2020,21404.527
217,4130,ford,2017,54804.149
218,15700,ford,2015,113033.859
219,45500,chevrolet,2020,22009.511
220,4130,ford,2017,68263.434
221,15500,dodge,2012,106921.268
222,16300,chevrolet,2020,29317.589
223,4530,ford,2017,66701.095
224,15600,dodge,2011,56757.475
225,45500,chevrolet,2020,22340.965
226,4100,ford,2017,62453.335
227,18200,dodge,2011,261110.129
228,10200,chevrolet,2013,90874.711
229,4080,ford,2017,98192.443
230,5700,ford,2014,287533.127
231,10200,chevrolet,2014,279111.621
232,5000,ford,2017,60049.489
233,1700,ford,2014,181477.501
234,6200,bmw,2011,129353.946
235,3650,ford,2016,109640.478
236,10500,dodge,2014,119392.627
237,43500,chevrolet,2018,92684.836
238,4610,dodge,2016,140351.461
239,3450,ford,2012,145953.999
240,38500,chevrolet,2018,17916.215
241,6810,ford,2016,107450.629
242,2900,ford,2011,307309.346
243,43500,chevrolet,2018,90115.263
244,4450,ford,2016,52269.974
245,5800,ford,2011,315215.972
246,16500,chevrolet,2018,28994.18
247,4240,dodge,2016,133968.558
248,26500,ford,2008,99782.135
249,13700,chevrolet,2017,58601.389
250,8600,ford,2016,117973.489
251,8000,ford,2008,212997.811
252,14200,chevrolet,2017,45072.917
253,7040,ford,2016,53565.219
254,4700,ford,2005,362404.724
255,30851,chevrolet,2016,69470.184
256,4880,ford,2016,59333.484
257,14500,dodge,2006,179857.238
258,7600,chevrolet,2017,177776.801
259,13270,ford,2016,135212.315
260,12800,ford,2012,210941.509
261,33000,chevrolet,2018,84506.289
262,9280,ford,2016,163120.42
263,900,ford,2003,228521.443
264,7560,ford,2016,179364.884
265,19500,ford,2011,123727.273
266,17100,chevrolet,2019,25390.02
267,8020,ford,2016,51397.896
268,10300,ford,2019,30469.632999999998
269,22600,chevrolet,2019,15616.954
